FTE_group,FTE_length,TEdb_length,MaskingAdjustment
DTM_Zm23554_AC210619-1,3982,3982,1
DTM_Zm25163_AC210240-1,4215,4215,1
DTM_Zm25481IC_AC203285-1,1481,1481,1
DTM_Zm25996_AC205363-1,4233,4233,1
DTM_Zm26908_AC183312-1,4365,4365,1
DTM_Zm27731_AC205570-1,2405,4073,1.693555094
DTM_Zm27984_AC204868-1,1203,3292,2.736492103
DTM_Zm28013_AC199567-1,827,2092,2.529625151
DTM_Zm28681_AC214113-1,3703,3703,1
DTM_Zm29517_AC196442-1,3356,4069,1.212455304
DTM_Zm30706_AC211930-1,1295,3477,2.684942085
DTM_Zm31138_AC184695-1,1570,3803,2.422292994
DTM_Zm32353_AC204762-1,2054,3606,1.755598832
DTM_Zm32512_AC187775-1,3201,7675,2.397688222
DTM_Zm33202_AC177945-1,4330,4330,1
DTM_Zm33203_AC183914-1,1819,3586,1.971412864
DTM_Zm33205_AC203276-1,3607,4238,1.174937621
DTM_Zm33206_AC209693-1,1147,3288,2.866608544
DTM_Zm33207_AC210869-1,2812,3427,1.218705548
DTM_Zm33208_AC195911-1,3255,3255,1
DTM_Zm33209_AC185668-1,2793,2793,1
DTM_Zm33210IC_AC204277-1,2464,2464,1
DTM_Zm33211_AC210532-1,1925,4061,2.10961039
DTM_Zm33212_AC204930-1,1604,3700,2.306733167
DTM_Zm33213_AC206876-1,1353,2493,1.842572062
DTM_Zm33216_AC197010-1,1193,1410,1.181894384
DTM_Zm33220_AC177941-1,3254,3254,1
DTM_Zm33221_AC192210-1,3433,3433,1
DTM_Zm33222_AC190995-1,3007,3698,1.22979714
DTM_Zm33223_AC208969-1,1550,3476,2.242580645
DTM_Zm33224_AC210149-1,2595,2595,1
DTM_Zm33225IC_AC186510-1,3717,3717,1
DTM_Zm33226_AC202438-1,1115,3223,2.89058296
DTM_Zm33227IC_AC208221-1,1737,1737,1
DTM_Zm33228_AC197348-1,1827,3549,1.942528736
DTM_Zm33229_AC199704-1,3090,3090,1
DTM_Zm33233_AC206057-1,3711,3711,1
DTM_Zm33234_AC208553-1,416,416,1
DTT_ZM00001_consensus,2974,2974,1
DTT_ZM00002_consensus,3317,3317,1
DTT_ZM00003_consensus,3201,3201,1
DTT_ZM00004_consensus,2608,2608,1
DTT_ZM00005_consensus,2861,2861,1
DTT_ZM00006_consensus,2748,2748,1
DTT_ZM00007_consensus,3717,3717,1
DTT_ZM00011_consensus,146,146,1
DTT_ZM00012_consensus,259,259,1
DTT_ZM00014_consensus,317,317,1
DTT_ZM00019_consensus,260,260,1
DTT_ZM00020_consensus,251,251,1
DTT_ZM00021_consensus,230,331,1.439130435
DTT_ZM00023_consensus,292,292,1
DTT_ZM00028_consensus,257,356,1.385214008
DTT_ZM00029_consensus,160,160,1
DTT_ZM00032_consensus,78,78,1
DTT_ZM00034_consensus,255,255,1
DTT_ZM00036_consensus,347,347,1
DTT_ZM00037_consensus,80,80,1
DTT_ZM00038_consensus,246,246,1
DTT_ZM00040_consensus,79,79,1
DTT_ZM00041_consensus,257,257,1
DTT_ZM00046_consensus,793,793,1
DTT_ZM00048_consensus,80,80,1
DTT_ZM00049_consensus,78,78,1
DTT_ZM00054_consensus,236,236,1
DTT_ZM00055_consensus,80,80,1
DTT_ZM00056_consensus,182,182,1
DTT_ZM00057_consensus,80,80,1
PPP_PPO_AC185414,3492,4321,1.237399771
RIL_afeda_AC208414-0,6307,6307,1
RIL_cin4_AC210188-0,1641,7111,4.333333333
RIL_edaej_AC215611-0,6472,6588,1.017923362
RIL_ejoet_AC212216-0,6586,6586,1
RIL_ekeje_AC197537-0,6750,6798,1.007111111
RIL_etiti_AC211734-0,6140,6256,1.018892508
RIL_gifife_AC206630-0,2210,7361,3.330769231
RIL_gugyve_AC194248-0,4006,4006,1
RIL_ijij_AC200508-0,6440,6440,1
RIL_jikeuf_AC211152-0,6028,6028,1
RIL_keneat_AC209697-0,7147,7147,1
RIL_koajav_AC205853-0,6792,6792,1
RIL_leijoh_AC212369-0,6523,6587,1.009811436
RIL_loneok_AC193379-0,6088,6088,1
RIL_naefe_AC212820-0,6853,6853,1
RIL_nubo_AC212389-0,8855,8949,1.010615471
RIL_nugimu_AC203843-0,4401,4462,1.013860486
RIL_odoif_AC210308-0,7130,7130,1
RIL_ogepy_AC198740-0,2299,7546,3.282296651
RIL_okor_AC198695-0,7167,7167,1
RIL_okor_AC205906-0,7421,7421,1
RIL_otiot_AC206557-1,2144,7113,3.317630597
RIL_oviev_AC204897-0,6434,6434,1
RIL_piivi_AC212400-0,5424,5424,1
RIL_pyelum_AC203928-0,6771,6771,1
RIL_rebaew_AC210723-0,5953,5953,1
RIL_totyru_AC203014-0,7153,7153,1
RIL_udag_AC207804-0,7819,7819,1
RIL_yliij_AC206507-0,6464,6464,1
RIT_colonist_AC209460-0,951,2591,2.724500526
RIT_jare_AC204843-0,315,1964,6.234920635
RLC_afad_AC199807-6594,5097,5166,1.013537375
RLC_agep_AC205112-8618,4513,5978,1.324617771
RLC_ahov_AC193643-3726,5166,5297,1.025358111
RLC_ajajog_AC191578-3186,5469,5469,1
RLC_ajipe_AC183372-580,979,2538,2.592441267
RLC_ajit_AC191382-3096,2700,4986,1.846666667
RLC_anar_AC206985-9422,975,5163,5.295384615
RLC_atej_AC187217-40,999,3831,3.834834835
RLC_atop_AC195158-4437,5135,5135,1
RLC_bihar_AC195875-4766,2327,4112,1.76708208
RLC_bote_AC211535-11252,1051,3028,2.881065652
RLC_bovo_AC197547-5647,5173,5173,1
RLC_debeh_AC177840-246,6053,6131,1.012886172
RLC_depuw_AC208349-9837,798,5459,6.84085213
RLC_dijap_AC211466-11198,9576,10963,1.14484127
RLC_doke_AC186158-1307,11562,11562,1
RLC_donuil_AC196196-5026,6337,6337,1
RLC_dugiab_AC207724-9683,1936,5209,2.690599174
RLC_ebel_AC188777-2128,1239,5557,4.485068604
RLC_ebel_AC195143-4427,836,5255,6.285885167
RLC_ebel_AC210216-10670,531,4951,9.323917137
RLC_ebel_AC211737-11397,93,4655,50.05376344
RLC_ebel_AC213044-12072,1689,4844,2.867969213
RLC_ehahu_AC202972-7568,1890,5048,2.670899471
RLC_eninu_AC191055-2893,7235,7235,1
RLC_erev_AC194741-136,2525,2525,1
RLC_fehod_AC184774-851,5045,5045,1
RLC_finaij_AC194312-4026,3252,4787,1.47201722
RLC_fipi_AC195215-4479,3966,6530,1.646495209
RLC_fourf_AC202975-7570,2812,6508,2.314366999
RLC_fuvej_AC194215-3955,3202,3285,1.025921299
RLC_gekog_AC203828-7984,4732,4789,1.012045647
RLC_giepum_AC197531-5634,10353,11730,1.133004926
RLC_giepum_AC211155-11010,9419,10792,1.14576919
RLC_giepum_AC211251-11074,12093,12751,1.054411643
RLC_gilovu_AC196048-4919,4514,4831,1.070225964
RLC_giream_AC204000-8116,3014,3014,1
RLC_gudyeg_AC206942-9404,2950,6212,2.105762712
RLC_gugu_AC193480-120,2421,2421,1
RLC_guvi_AC185473-1128,4674,4674,1
RLC_guwo_AC183661-638,569,4786,8.411247803
RLC_hago_AC195807-4722,1238,5424,4.381260097
RLC_hani_AC186285-1359,5089,5089,1
RLC_hera_AC214536-12775,3708,5109,1.377831715
RLC_hesa_AC204349-8207,5318,5318,1
RLC_hiri_AC187471-44,4468,4542,1.01656222
RLC_homy_AC197914-5822,3334,4894,1.467906419
RLC_hopscotch_AC209396-10229,4865,4865,1
RLC_huta_AC210008-10542,3181,4722,1.484438856
RLC_huti_AC197153-5449,4268,4755,1.114104967
RLC_ibulaf_AC186801-1662,4622,4622,1
RLC_iseb_AC207352-9544,5407,5407,1
RLC_janoov_AC209690-10294,3456,4891,1.415219907
RLC_japov_AC213985-12447,1609,7444,4.626476072
RLC_jelat_AC194217-3960,1039,1602,1.54186718
RLC_ji_AC186528-1508,11030,11968,1.085040798
RLC_ji_AC195394-4599,545,8904,16.33761468
RLC_ji_AC204382-8228,778,8018,10.3059126
RLC_ji_AC209892-10463,10715,11641,1.086420905
RLC_ji_AC211489-11215,153,9197,60.11111111
RLC_ji_AC215728-13156,750,9333,12.444
RLC_kake_AC186604-1559,1299,7563,5.822170901
RLC_kuvi_AC207313-9512,712,5245,7.366573034
RLC_kuvi_AC207807-9734,893,5456,6.109742441
RLC_labe_AC203760-7937,3004,3004,1
RLC_lafa_AC205893-9045,3227,4866,1.507902076
RLC_lusi_AC198175-5903,3429,4992,1.455818023
RLC_machiavelli_AC200490-6883,2593,6149,2.371384497
RLC_mauky_AC195954-4843,3924,5391,1.373853211
RLC_muekeh_AC184787-871,1380,1380,1
RLC_naasuj_AC211569-11281,878,4739,5.397494305
RLC_neha_AC215285-13046,5196,8528,1.64126251
RLC_nene_AC204294-8188,208,5299,25.47596154
RLC_niki_AC217821-13540,5125,5125,1
RLC_nitat_AC190618-2442,5042,5042,1
RLC_nowuv_AC215510-13095,5223,5223,1
RLC_nuhan_AC206272-9161,10457,14203,1.358228938
RLC_ogiv_AC205856-9034,4826,5213,1.080190634
RLC_omud_AC203533-7881,4389,4823,1.098883573
RLC_onal_AC186648-1594,3580,4827,1.348324022
RLC_opie_AC185480-1137,80,7941,99.2625
RLC_opie_AC187207-1792,207,10262,49.57487923
RLC_opie_AC197201-5474,72,8964,124.5
RLC_opie_AC198173-5898,182,8878,48.78021978
RLC_opie_AC201793-7083,167,7180,42.99401198
RLC_opie_AC210610-10772,6481,8128,1.254127449
RLC_opie_AC211653-11340,454,9369,20.63656388
RLC_owiit_AC196151-4998,4207,5101,1.212502971
RLC_pute_AC197188-5467,1547,6983,4.513897867
RLC_raider_AC197426-5583,539,5724,10.61966605
RLC_raider_AC209705-10304,751,6527,8.691078562
RLC_rely_AC199569-6530,530,4706,8.879245283
RLC_ruhi_AC205536-8890,3312,4708,1.421497585
RLC_sehoad_AC198380-5972,3124,4659,1.491357234
RLC_seko_AC188710-2086,221,5279,23.88687783
RLC_seufyt_AC194940-4361,5282,5282,1
RLC_sofi_AC215261-13035,506,1948,3.849802372
RLC_stonor_AC212476-11849,3827,3827,1
RLC_taname_AC194273-3998,4161,4651,1.117760154
RLC_tata_AC205418-8792,4384,4870,1.110857664
RLC_tatu_AC212076-11563,5264,5264,1
RLC_tiwe_AC187032-1709,4766,4766,1
RLC_tiwewi_AC210937-10935,4762,4762,1
RLC_totu_AC194464-4142,4961,4961,1
RLC_tufe_AC211502-11228,769,3897,5.067620286
RLC_ubat_AC212211-11652,920,5108,5.552173913
RLC_ubel_AC183941-731,2594,3247,1.251734773
RLC_ubel_AC194376-4060,850,4925,5.794117647
RLC_ubep_AC210005-10539,3366,4749,1.41087344
RLC_ugog_AC206863-9375,3122,4965,1.590326714
RLC_uhun_AC200619-6943,721,4722,6.549237171
RLC_uloh_AC209080-10120,1485,7335,4.939393939
RLC_ulyg_AC196397-5082,976,5037,5.160860656
RLC_urum_AC198861-6159,5203,5203,1
RLC_uwaf_AC197569-5671,3382,4895,1.447368421
RLC_victim_AC182414-456,549,5468,9.95992714
RLC_victim_AC183319-577,629,5516,8.769475358
RLC_vodida_AC203384-7831,4830,4830,1
RLC_volo_AC195546-4646,5193,5193,1
RLC_votaed_AC215881-13209,1508,1508,1
RLC_vuijon_AC194895-4312,4029,5084,1.261851576
RLC_wamenu_AC191287-3028,3236,5558,1.717552534
RLC_wawo_AC216857-13424,8091,9480,1.171672228
RLC_wiwa_AC191531-3153,5245,7794,1.485986654
RLC_ydut_AC191122-2965,3258,4654,1.428483732
RLC_yrer_AC198936-6221,1284,5299,4.12694704
RLC_ytar_AC194428-4096,4794,4836,1.008760951
RLG_abiri_AC203571-7891,5133,5605,1.091954023
RLG_ahoru_AC187284-1845,5688,5688,1
RLG_amiin_AC191769-3319,5611,5611,1
RLG_apil_AC198662-6085,5312,5312,1
RLG_apil_AC204354-8209,3469,5444,1.569328337
RLG_awuhe_AC190897-2710,5474,5474,1
RLG_bavav_AC208118-9781,5033,5500,1.092787602
RLG_bobeg_AC193485-3670,1801,2220,1.232648529
RLG_bobobo_AC201919-7182,4361,5269,1.208209126
RLG_bogu_AC196148-4995,3072,5680,1.848958333
RLG_bogu_AC198870-6180,2566,5732,2.233826968
RLG_boha_AC205574-8933,5513,5513,1
RLG_boja_AC200053-6723,2882,5451,1.891394865
RLG_bomevy_AC195138-4424,4838,5497,1.136213311
RLG_bosohe_AC185471-1125,984,5204,5.288617886
RLG_bosohe_AC190752-2561,2006,2253,1.123130608
RLG_bosohe_AC191654-3248,2632,5409,2.055091185
RLG_bosohe_AC205330-8724,1730,5165,2.985549133
RLG_bosohe_AC205838-9025,4113,5196,1.263311451
RLG_bosohe_AC206838-9357,2610,2798,1.072030651
RLG_bosohe_AC212057-11553,5051,5051,1
RLG_bosohe_AC213600-12201,1764,5210,2.953514739
RLG_bowuow_AC212139-11611,2642,5369,2.032172597
RLG_bygum_AC188125-2053,6999,11343,1.620660094
RLG_cinful-zeon_AC191398-3106,83,6159,74.20481928
RLG_cinful-zeon_AC193672-3742,1518,9348,6.158102767
RLG_cinful-zeon_AC198933-6214,665,7262,10.92030075
RLG_cinful-zeon_AC203004-7602,717,9818,13.69316597
RLG_cinful-zeon_AC206171-9091,101,9626,95.30693069
RLG_cinful-zeon_AC211144-11003,464,7758,16.71982759
RLG_cinful-zeon_AC211573-11290,962,14836,15.42203742
RLG_cinful-zeon_AC213887-12415,166,7397,44.56024096
RLG_cinful-zeon_AC215255-13029,213,7246,34.01877934
RLG_CRM4_AC201761-7053,2397,5370,2.240300375
RLG_CRM4_AC206864-9376,4793,7574,1.580221156
RLG_dabe_AC212399-11783,5445,5445,1
RLG_dadeir_AC201957-7187,5059,5517,1.090531726
RLG_dagaf_AC182835-556,1941,11188,5.764039155
RLG_dagaf_AC195302-4533,1270,11142,8.773228346
RLG_dagaf_AC208646-9966,1359,11219,8.255334805
RLG_doke_AC197224-5479,11423,11423,1
RLG_ekoj_AC194603-4173,3320,3701,1.114759036
RLG_epohi_AC205903-9050,5104,5104,1
RLG_ewib_AC198384-5975,1102,2817,2.556261343
RLG_ewib_AC207533-9599,5077,5077,1
RLG_ewiut_AC194106-3871,553,5267,9.524412297
RLG_ewog_AC212715-11905,5434,5434,1
RLG_fege_AC205532-8884,5099,5099,1
RLG_flip_AC193970-3791,1022,15562,15.22700587
RLG_flip_AC203163-7675,485,14936,30.79587629
RLG_flip_AC208040-9765,853,15404,18.05861665
RLG_flip_AC213672-12280,964,15016,15.57676349
RLG_fuved_AC204055-8151,5311,5311,1
RLG_gati_AC195589-4669,5616,5616,1
RLG_gofi_AC196116-4977,5355,5355,1
RLG_grande_AC190611-2432,111,14426,129.963964
RLG_grande_AC197914-5823,105,4274,40.7047619
RLG_grande_AC200214-6803,3378,13767,4.075488455
RLG_guhis_AC198413-5999,7696,7696,1
RLG_guwiot_AC207006-9429,3384,5300,1.566193853
RLG_gylu_AC188833-2139,605,5229,8.642975207
RLG_gyma_AC189750-2238,4192,11247,2.682967557
RLG_gyma_AC190530-2365,4192,11788,2.812022901
RLG_gyma_AC197250-5506,2198,13623,6.197907188
RLG_gyma_AC198939-6228,2309,13638,5.90645301
RLG_gyma_AC206653-9288,1895,13437,7.090765172
RLG_gyma_AC212146-11616,8759,12078,1.378924535
RLG_gyte_AC207411-9568,5624,6054,1.076458037
RLG_hooni_AC211474-11202,5421,5421,1
RLG_huck_AC194973-4393,383,13880,36.24020888
RLG_huck_AC208546-9913,3445,15156,4.399419448
RLG_huck_AC208842-10038,1521,14734,9.687047995
RLG_huck_AC210804-10865,879,12710,14.4596132
RLG_huck_AC212331-11708,89,13838,155.4831461
RLG_huck_AC213612-12218,482,13037,27.04771784
RLG_hute_AC204317-8199,3858,3858,1
RLG_ijaat_AC199510-6486,5059,5522,1.091520063
RLG_ikal_AC190798-2599,4251,5478,1.288637968
RLG_ivuk_AC194103-3869,5282,5282,1
RLG_iwim_AC203300-7761,5279,5279,1
RLG_kase_AC212771-11956,5259,5259,1
RLG_kubi_AC195480-4624,1140,5374,4.714035088
RLG_kubi_AC196180-5016,2046,5492,2.684261975
RLG_labu_AC188126-2057,5292,5475,1.034580499
RLG_laiwa_AC214288-12602,5005,5186,1.036163836
RLG_lata_AC191117-2960,9053,9053,1
RLG_lise_AC211467-11199,5323,5351,1.005260192
RLG_loba_AC194942-4364,3452,3479,1.007821553
RLG_lowy_AC190530-2366,5183,5183,1
RLG_lute_AC206502-9225,5121,5585,1.090607303
RLG_lute_AC217373-13492,2163,5589,2.583911234
RLG_lyruom_AC185669-1267,5080,5080,1
RLG_lywy_AC194967-4386,5231,5231,1
RLG_magellan_AC194897-4313,4342,5642,1.299401198
RLG_maro_AC204359-8211,5488,5488,1
RLG_moorud_AC199961-6697,4792,5452,1.137729549
RLG_mufeub_AC194206-3950,5132,5132,1
RLG_mywur_AC197359-5559,2509,5231,2.08489438
RLG_naijaj_AC205556-8907,5559,5559,1
RLG_nakovu_AC206324-9191,5449,5449,1
RLG_nasi_AC205509-8857,5234,5234,1
RLG_nobe_AC198224-5924,4779,5464,1.143335426
RLG_nopip_AC188036-2052,5180,5180,1
RLG_notu_AC200254-6827,5361,5361,1
RLG_oguod_AC209724-10327,5323,5468,1.027240278
RLG_ojam_AC198400-5989,5336,5336,1
RLG_ojav_AC202435-7427,5336,5336,1
RLG_ojokat_AC204297-8192,5558,5558,1
RLG_okopam_AC187789-1948,5466,5466,1
RLG_olepo_AC212207-11645,5379,5379,1
RLG_omoha_AC184843-894,5386,5386,1
RLG_ovamef_AC196977-5281,5405,5405,1
RLG_oveah_AC206282-9165,1247,5318,4.264635124
RLG_ovikoh_AC200886-1-999999,5174,5174,1
RLG_pagof_AC198204-5908,5105,5533,1.083839373
RLG_pebi_AC207888-9755,10713,11575,1.080462989
RLG_piube_AC183505-603,5206,5206,1
RLG_prem1_AC184142-802,4303,8472,1.968858936
RLG_prem1_AC186287-1362,4659,8810,1.890963726
RLG_prem1_AC191715-3282,3308,8175,2.471281741
RLG_prem1_AC196065-4927,2677,10329,3.858423609
RLG_prem1_AC200105-6751,1947,10216,5.247046739
RLG_prem1_AC200740-6986,4289,8598,2.004663092
RLG_prem1_AC201801-7095,3084,7635,2.475680934
RLG_prem1_AC206253-9147,5437,9492,1.745815707
RLG_prem1_AC212325-11702,2999,10154,3.385795265
RLG_prem1_AC215184-12949,3292,7816,2.374240583
RLG_puck_AC208456-9876,8805,12751,1.448154458
RLG_puck_AC208673-9982,300,7018,23.39333333
RLG_puck_AC211927-11478,1737,6821,3.926885435
RLG_puck_AC215312-13067,1263,7288,5.770387965
RLG_reina_AC200147-6773,5409,5409,1
RLG_rimaar_AC197236-5493,3191,5490,1.720463804
RLG_rowi_AC203429-7862,2921,5486,1.87812393
RLG_rufefu_AC193384-3596,5566,5566,1
RLG_ruugu_AC214105-12477,4922,5271,1.070906136
RLG_satulo_AC197006-5311,5391,5391,1
RLG_sawujo_AC193398-3610,3219,5337,1.657968313
RLG_seuwe_AC210840-10901,308,5623,18.25649351
RLG_soger_AC204598-8342,5346,5602,1.04788627
RLG_sokiit_AC210743-10848,2936,5467,1.862057221
RLG_sowu_AC215679-13136,3877,3877,1
RLG_suda_AC215200-12975,4645,5311,1.143379978
RLG_sywu_AC183899-694,5395,5395,1
RLG_taro_AC203167-7686,310,5607,18.08709677
RLG_tekay_AC200856-6996,9835,11981,1.218200305
RLG_tekay_AC211245-11065,10312,12807,1.241951125
RLG_tituer_AC196493-5158,3084,5492,1.78080415
RLG_tuku_AC177929-405,2265,5599,2.47196468
RLG_ubid_AC210086-10583,5449,5449,1
RLG_udav_AC196188-5022,5142,5281,1.027032283
RLG_udokup_AC210420-10735,4223,5557,1.315889178
RLG_ufonah_AC194064-3852,1174,5249,4.471039182
RLG_ugano_AC216043-13241,4894,5607,1.145688598
RLG_ulik_AC205416-8790,5503,5503,1
RLG_umojev_AC204420-8262,5462,5462,1
RLG_uper_AC185487-1151,5455,5455,1
RLG_upus_AC200875-7012,5455,5455,1
RLG_usif_AC206781-9344,3985,3985,1
RLG_usuf_AC208533-9903,5230,5230,1
RLG_uvet_AC194145-3904,5351,5351,1
RLG_uwew_AC187787-1947,1048,5227,4.98759542
RLG_uwum_AC177933-415,4670,9178,1.965310493
RLG_uwum_AC190887-2701,5738,6819,1.188393168
RLG_uwum_AC213069-12092,6696,9801,1.463709677
RLG_uwuw_AC198589-6052,2690,5495,2.042750929
RLG_vufi_AC198989-6257,5419,5419,1
RLG_waepo_AC190953-2782,5466,5466,1
RLG_weaniv_AC196414-5097,5321,5321,1
RLG_weki_AC194431-4099,5482,5482,1
RLG_wemu_AC204680-8396,5566,5566,1
RLG_witi_AC184140-796,5490,5490,1
RLG_wuwe_AC191412-107,4520,5327,1.178539823
RLG_wuwe_AC212122-11600,5331,5331,1
RLG_wyly_AC198779-6150,2285,5544,2.426258206
RLG_xilon-diguus_AC185317-1058,4214,11389,2.702657807
RLG_xilon-diguus_AC195486-4629,4802,12215,2.543731778
RLG_xilon-diguus_AC203313-7774,10325,12714,1.231380145
RLG_yfages_AC197085-5383,1127,5212,4.624667258
RLG_ytub_AC187411-1880,5516,5516,1
RLG_yvoj_AC215638-13124,5420,5420,1
RLG_ywuv_AC197432-5589,3174,5068,1.596723377
RLG_ywyt_AC209975-10517,11088,11088,1
RLX_adun_AC193506-122,2783,2783,1
RLX_afeke_AC209700-10302,1757,1857,1.056915196
RLX_afuv_AC186332-26,12627,14193,1.124019957
RLX_ajeb_AC188141-66,4353,4353,1
RLX_alaw_AC197914-166,1859,1859,1
RLX_anim_AC206032-183,1452,1659,1.142561983
RLX_arar_AC208428-9858,4141,4141,1
RLX_avahi_AC191363-3084,6348,6348,1
RLX_baha_AC187214-39,2478,2478,1
RLX_baso_AC192251-3423,2456,4220,1.718241042
RLX_bawigu_AC208532-9902,694,3325,4.791066282
RLX_beboso_AC190260-76,2563,2563,1
RLX_beby_AC214433-12667,3079,3079,1
RLX_bene_AC198379-5969,1945,3567,1.833933162
RLX_beva_AC190814-90,5380,6328,1.176208178
RLX_biwa_AC194319-131,14397,14520,1.008543447
RLX_bori_AC190960-100,2725,2725,1
RLX_bosovu_AC193480-119,3053,3053,1
RLX_bs1_AC185605-1189,2235,3276,1.465771812
RLX_bs1_AC208724-10016,1576,2333,1.480329949
RLX_buire_AC194484-4158,2462,2627,1.067018684
RLX_bula_AC195180-138,6508,6941,1.066533497
RLX_bumy_AC216354-13379,6260,7231,1.155111821
RLX_CRM2_AC206920-9397,3066,3066,1
RLX_CRM3_AC200048-6717,4427,4427,1
RLX_dady_AC210684-10809,1658,1658,1
RLX_daju_AC190492-79,1377,1377,1
RLX_dala_AC216254-13336,1361,1685,1.23806025
RLX_defub_AC191393-106,7002,8587,1.226363896
RLX_demo_AC202036-173,1743,1743,1
RLX_doba_AC190263-77,4005,4005,1
RLX_efaw_AC190815-91,3870,3870,1
RLX_elalal_AC211887-11443,923,1829,1.981581798
RLX_emuh_AC193462-157,1281,1281,1
RLX_epiil_AC190716-83,1502,1502,1
RLX_epom_AC196256-5041,1798,2206,1.226918799
RLX_etin_AC194319-129,4375,4375,1
RLX_etug_AC187099-1770,3416,3416,1
RLX_ewigyw_AC185312-18,1706,1706,1
RLX_ewot_AC210077-10573,2727,3171,1.162816282
RLX_ewuof_AC188199-68,5050,5050,1
RLX_fajy_AC190874-2682,1651,1937,1.173228346
RLX_fanuab_AC193594-3712,2719,3520,1.294593601
RLX_fara_AC188142-67,5310,5310,1
RLX_fate_AC194466-4144,2748,3416,1.243085881
RLX_gate_AC197186-143,4601,4601,1
RLX_geta_AC187066-33,2510,2510,1
RLX_gotur_AC201794-7086,1699,2278,1.340788699
RLX_guafa_AC188016-60,3598,3598,1
RLX_guali_AC190263-78,5833,6076,1.041659523
RLX_gufa_AC194066-3854,3100,3410,1.1
RLX_habu_AC195917-4802,1256,1555,1.238057325
RLX_halo_AC205330-8725,2561,2561,1
RLX_hiimam_AC207734-9687,1451,1451,1
RLX_hoda_AC193645-3730,2956,2956,1
RLX_hutu_AC210780-10851,3469,3469,1
RLX_ifab_AC209906-10473,2761,2805,1.015936255
RLX_ilofaw_AC186598-1545,3306,3306,1
RLX_ilyl_AC196209-163,1408,1408,1
RLX_iwik_AC203371-7824,3130,3520,1.124600639
RLX_jakek_AC185468-151,1775,1775,1
RLX_jeli_AC200611-6933,2290,3105,1.355895197
RLX_jeli_AC208705-10001,2988,3042,1.018072289
RLX_joemon_AC177891-147,1631,2194,1.345187002
RLX_jube_AC191704-110,1175,1312,1.116595745
RLX_jupek_AC208518-9894,3663,3808,1.03958504
RLX_juta_AC190498-2318,3139,3139,1
RLX_kahoba_AC186618-29,2635,2635,1
RLX_kahowu_AC205018-178,2769,2769,1
RLX_kaise_AC203928-8059,1179,1179,1
RLX_kawivo_AC186793-30,9891,11243,1.13668992
RLX_kinosi_AC183924-714,2850,3551,1.245964912
RLX_kupu_AC216069-13264,2025,4509,2.226666667
RLX_lamyab_AC208713-10008,2392,3441,1.438545151
RLX_lenu_AC213984-12443,1716,1716,1
RLX_leso_AC215500-13080,487,1378,2.829568789
RLX_loukuv_AC197842-5799,6743,9908,1.469375649
RLX_luteja_AC183974-769,1364,1364,1
RLX_lyna_AC194093-3868,1186,7395,6.235244519
RLX_mafigi_AC216705-13396,1520,3445,2.266447368
RLX_mafogo_AC199961-6695,2319,2943,1.269081501
RLX_mako_AC200748-6991,3010,3010,1
RLX_maono_AC208340-9832,2063,2063,1
RLX_mewu_AC186332-152,1449,1759,1.213940649
RLX_mibaab_AC205139-8652,2606,3016,1.15732924
RLX_mijuw_AC190986-101,1414,1414,1
RLX_milt_AC209648-10275,3281,3775,1.150563852
RLX_milt_AC211742-11402,7715,9381,1.215942968
RLX_miva_AC188030-62,1881,1881,1
RLX_mopin_AC187657-153,1553,1553,1
RLX_mulaf_AC207733-9686,3021,3288,1.088381331
RLX_muusi_AC190834-92,1605,1703,1.06105919
RLX_nabu_AC187471-45,1166,3493,2.995711835
RLX_nabu_AC187882-57,586,2996,5.112627986
RLX_naiba_AC195481-139,7599,10805,1.421897618
RLX_nakuuv_AC199045-169,2203,2203,1
RLX_name_AC197689-5725,1267,2267,1.789265983
RLX_nana_AC209373-10202,2086,2759,1.322627037
RLX_naseup_AC196428-5108,5265,6487,1.232098765
RLX_neafu_AC185666-1261,1774,2925,1.648816234
RLX_nisow_AC208616-9947,2950,3635,1.23220339
RLX_niypo_AC191087-2935,1105,1827,1.653393665
RLX_odip_AC216266-13348,3816,3922,1.027777778
RLX_ohag_AC187801-48,5836,11089,1.90010281
RLX_ojah_AC184792-875,8981,9869,1.098875404
RLX_okoj_AC198787-167,1293,1557,1.204176334
RLX_okur_AC194642-135,2228,4966,2.228904847
RLX_onub_AC190523-2356,12193,12193,1
RLX_osed_AC191084-2931,1909,1909,1
RLX_ovev_AC199878-6641,1732,1732,1
RLX_oviil_AC187836-55,8696,8696,1
RLX_oviis_AC209739-10346,1353,1353,1
RLX_ovys_AC187066-34,6471,6471,1
RLX_oweiw_AC190860-2662,2571,2571,1
RLX_owume_AC207119-9459,1210,1210,1
RLX_panen_AC192606-115,1097,2925,2.666362808
RLX_petopi_AC195376-4582,2957,3291,1.112952317
RLX_pibo_AC201915-172,2318,2318,1
RLX_poarow_AC200533-6899,2914,2914,1
RLX_pope_AC205335-180,2452,2452,1
RLX_raga_AC196386-5066,2817,3195,1.134185304
RLX_raga_AC204541-8305,1361,5312,3.903012491
RLX_rijuep_AC188965-2150,1629,2854,1.751995089
RLX_ruda_AC195952-4839,320,6461,20.190625
RLX_ruda_AC202870-7495,1155,6929,5.999134199
RLX_rulo_AC186371-28,2584,3353,1.297600619
RLX_ruwi_AC204382-8227,769,2828,3.677503251
RLX_saahol_AC198506-6044,3687,3687,1
