Originalname,Chromosome_B73RefGen_v2position(bp)
PZE-103095306,2_85890297
PZE-103095310,2_85903750
PZE-103095358,2_85995980
PZE-103095373,2_85997246
PZE-103095405,2_86002997
PZE-103095411,2_86037775
PZE-103095468,2_86217657
PZE-103095475,2_86254003
PZE-103095476,2_86252762
PZE-103095492,2_86248795
PZE-103095509,2_86246951
PZE-103095548,2_86302946
PZE-103095571,2_86359939
PZE-103095688,2_86651475
PZE-103095693,2_86654276
PZE-103095735,3_155761017
PZE-103095736,3_155761088
PZE-103095746,3_155761672
PZE-103095814,3_155736726
PZE-103095823,3_155790153
PZE-103095825,3_155792553
PZE-103095827,3_155792855
PZE-103095880,3_155800217
PZE-103095938,3_155803805
PZE-103095981,3_155859324
PZE-103096014,3_155955147
PZE-103096035,3_155956212
PZE-103096038,3_155956382
PZE-103096054,3_155957420
PZE-103096063,3_155959968
PZE-103096116,3_155963249
PZE-103096132,3_155968473
PZE-103096138,3_155969683
PZE-103096159,3_156052627
PZE-103096203,3_156055316
PZE-103096339,3_156152363
PZE-103096403,3_156278627
PZE-103096408,3_156283556
PZE-103096409,3_156284109
PZE-103096420,3_156284786
PZE-103096466,3_156304805
PZE-103096467,3_156312085
PZE-103096554,3_156433428
PZE-103096560,3_156429638
PZE-103096615,3_156485442
PZE-103096619,3_156485810
PZE-103096667,3_156497216
PZE-103096687,3_156499588
PZE-103096694,3_156536116
PZE-103096714,3_156536841
PZE-103096734,3_156553983
PZE-103096799,3_156636077
PZE-103096829,3_156639988
PZE-103096842,3_156657291
PZE-103096877,3_156789141
PZE-103096878,3_156790687
PZE-103096881,3_156791299
PZE-103096882,3_156791345
PZE-103096885,3_156792785
PZE-103096896,3_156794783
PZE-103096999,3_156800277
PZE-103097003,3_156802313
PZE-103097004,3_156802357
PZE-103097005,3_156802383
PZE-103097034,3_156814466
PZE-103097064,3_156936687
PZE-103097076,3_156937084
PZE-103097269,3_157018380
PZE-103097270,3_157018354
PZE-103097344,3_157072097
PZE-103097452,3_157051848
PZE-103097469,3_157050918
PZE-103097489,3_157207287
PZE-103097496,3_157205381
PZE-103097507,3_157201888
PZE-103097514,3_157416569
PZE-103097515,3_157416637
PZE-103097579,3_157518069
PZE-103097594,3_157542760
PZE-103097831,3_157648068
PZE-103097885,3_157739959
PZE-103097915,3_157758602
PZE-103097925,3_157772758
PZE-103097969,3_157918370
PZE-103097999,3_157938612
PZE-103098026,3_157958432
PZE-103098091,3_158202416
PZE-103098157,3_158351695
PZE-103098174,3_158444676
PZE-103098185,3_158448781
PZE-103098198,3_158503127
PZE-103098213,3_158509302
PZE-103098232,3_158511921
PZE-103098233,3_158511955
PZE-103098234,3_158512183
PZE-103098283,3_158524074
PZE-103098294,3_158525361
PZE-103098377,3_158650545
PZE-103098382,3_158668137
PZE-103098393,3_158672731
PZE-103098440,3_158768649
PZE-103098507,3_158780814
PZE-103098607,3_158791116
PZE-103098625,3_158888979
PZE-103098628,3_158889049
PZE-103098655,3_158894768
PZE-103098659,3_158895234
PZE-103098664,3_158895864
PZE-103098666,3_158896977
PZE-103098779,3_158974281
PZE-103098863,3_159170263
PZE-103099020,3_159378587
PZE-103099066,3_159526813
PZE-103099307,3_159743053
PZE-103099492,3_159807958
PZE-103099600,3_159817878
PZE-103099719,3_159861315
PZE-103099836,3_159870036
PZE-103099912,3_159873829
PZE-103099938,3_159910931
PZE-103099960,3_159941471
PZE-103100020,3_160014652
PZE-103100051,3_160076318
PZE-103100061,3_160078039
PZE-103100062,3_160078075
PZE-103100065,3_160083617
PZE-103100114,3_160304669
PZE-103100115,3_160304632
PZE-103100131,3_160303648
PZE-103100139,3_160328564
PZE-103100160,3_160329761
PZE-103100245,3_160521045
PZE-103100389,3_160666381
PZE-103100427,3_160671655
PZE-103100449,3_160755002
PZE-103100545,3_160933846
PZE-103100557,3_160935868
PZE-103100598,3_161144154
PZE-103100798,3_161560165
PZE-103100805,3_161562230
PZE-103100809,3_161562536
PZE-103100885,3_161566693
PZE-103100890,3_161566863
PZE-103101073,3_161649325
PZE-103101075,3_161649876
PZE-103101164,3_161728699
PZE-103101267,3_161853355
PZE-103101309,3_161893441
PZE-103101395,3_161955252
PZE-103101478,3_161959511
PZE-103101571,3_161969945
PZE-103101818,3_162080219
PZE-103101968,3_162177943
PZE-103101981,3_162178525
PZE-103102032,3_162279178
PZE-103102047,3_162314196
PZE-103102059,3_162316122
PZE-103102119,3_162433493
PZE-103102170,3_162438608
PZE-103102192,3_162558844
PZE-103102319,3_162600680
PZE-103102351,3_162602937
PZE-103102354,3_162606626
PZE-103102385,3_162699053
PZE-103102395,3_162703511
PZE-103102416,3_162743710
PZE-103102419,3_162747733
PZE-103102422,3_162752243
PZE-103102469,3_162804570
PZE-103102481,3_162812655
PZE-103102501,3_162817884
PZE-103102532,3_163035709
PZE-103102544,3_163075133
PZE-103102547,3_163088350
PZE-103102590,3_163638873
PZE-103102595,3_163639148
PZE-103102606,3_163654682
PZE-103102607,3_163656079
PZE-103102610,3_163656547
PZE-103102614,3_163663412
PZE-103102620,3_163712420
PZE-103102712,3_164171292
PZE-103102725,3_164251398
PZE-103102727,3_164250309
PZE-103102730,3_164250193
PZE-103102737,3_164366748
PZE-103102738,3_164372883
PZE-103102765,3_164388731
PZE-103102810,3_164393094
PZE-103102834,3_164503762
PZE-103102835,3_164503873
PZE-103102839,3_164524723
PZE-103102840,3_164524759
PZE-103102844,3_164525227
PZE-103102854,3_164526430
PZE-103102855,3_164526553
PZE-103102880,3_164584504
PZE-103102891,3_164585949
PZE-103102894,3_164586105
PZE-103102962,3_164772458
PZE-103102975,3_164846291
PZE-103103011,3_164898642
PZE-103103056,3_164974440
PZE-103103090,3_164975852
PZE-103103355,3_165022234
PZE-103103358,3_165022310
PZE-103103362,3_165022441
PZE-103103387,3_165023216
PZE-103103516,3_165169201
PZE-103103537,3_165176546
PZE-103103665,3_165445664
PZE-103103850,3_165459885
PZE-103103922,3_165462332
PZE-103104032,3_165614047
PZE-103104127,3_165727894
PZE-103104158,3_165729593
PZE-103104159,3_165729661
PZE-103104163,3_165730806
PZE-103104175,3_165731781
PZE-103104198,3_165733512
PZE-103104216,3_165734127
PZE-103104246,3_165734841
PZE-103104329,3_165855080
PZE-103104368,3_165857049
PZE-103104448,3_165862997
PZE-103104474,3_165863959
PZE-103104752,3_166091022
PZE-103104806,3_166153777
PZE-103105057,3_166244940
PZE-103105074,3_166253879
PZE-103105125,3_166389393
PZE-103105252,3_166433480
PZE-103106026,3_166799624
PZE-103106107,3_166812806
PZE-103106108,3_166813357
PZE-103106109,3_166813467
PZE-103106117,3_166815208
PZE-103106160,3_166998647
PZE-103106231,3_167006491
PZE-103106233,3_167006879
PZE-103106300,3_167009725
PZE-103106340,3_167012685
PZE-103106422,3_167072881
PZE-103106481,3_167076333
PZE-103106546,3_167362967
PZE-103106593,3_167371999
PZE-103106913,3_167473749
PZE-103106983,3_167488263
PZE-103107057,3_167685734
PZE-103107084,3_167747198
PZE-103107092,3_167788278
PZE-103107098,3_167790071
PZE-103107108,3_167803448
PZE-103107114,3_167804038
PZE-103107159,3_168018419
PZE-103107278,3_168290278
PZE-103107305,3_168298873
PZE-103107309,3_168300240
PZE-103107312,3_168306540
PZE-103107449,3_168429818
PZE-103107540,3_168492316
PZE-103107609,3_168525546
PZE-103107641,3_168624034
PZE-103107669,3_168696025
PZE-103107729,3_168766853
PZE-103107778,3_168837202
PZE-103107811,3_168857281
PZE-103107819,3_168860770
PZE-103107820,3_168862263
PZE-103107836,3_168863064
PZE-103107909,3_168919904
PZE-103107953,3_168961638
PZE-103108109,3_169044593
PZE-103108142,3_169046556
PZE-103108154,3_169051632
PZE-103108199,3_169053554
PZE-103108225,3_169071582
PZE-103108302,3_169114452
PZE-103108303,3_169114492
PZE-103108410,3_169218337
PZE-103108581,3_169379094
PZE-103108617,3_169539024
PZE-103108648,3_169576793
PZE-103108797,3_169722452
PZE-103108877,3_169728782
PZE-103108908,3_169730362
PZE-103108934,3_169733984
PZE-103108995,3_169746635
PZE-103109049,3_169874341
PZE-103109052,3_169874611
PZE-103109054,3_169874684
PZE-103109137,3_170023008
PZE-103109188,3_170024990
PZE-103109236,3_170026467
PZE-103109369,3_170107274
PZE-103109418,3_170117068
PZE-103109587,3_170222125
PZE-103109694,3_170277487
PZE-103109729,3_170368490
PZE-103109843,3_170424526
PZE-103109875,3_170436993
PZE-103109970,3_170456574
PZE-103110091,3_170490429
PZE-103110183,3_170499681
PZE-103110278,3_170547871
PZE-103110342,3_170678965
PZE-103110355,3_170680787
PZE-103110385,3_170707936
PZE-103110386,3_170709281
PZE-103110415,3_170771645
PZE-103110416,3_170771737
PZE-103110684,3_170892310
PZE-103110746,3_170901791
PZE-103110761,3_170907233
PZE-103110762,3_170907262
PZE-103110776,3_170923074
PZE-103110810,3_170938034
PZE-103110852,3_171029218
PZE-103110858,3_171029966
PZE-103110860,3_171030132
PZE-103110921,3_171135305
PZE-103110996,3_171376412
PZE-103110997,3_171376433
PZE-103111009,3_171428617
PZE-103111112,3_171438379
PZE-103111225,3_171640251
PZE-103111235,3_171645425
PZE-103111236,3_171645885
PZE-103111246,3_171703285
PZE-103111251,3_171703677
PZE-103111260,3_171709547
PZE-103111262,3_171709819
PZE-103111295,3_171713484
PZE-103111300,3_171716966
PZE-103111364,3_171752064
PZE-103111455,3_171755720
PZE-103111475,3_171757444
PZE-103111478,3_171757954
PZE-103111492,3_171780785
PZE-103111510,3_171810523
PZE-103111563,3_171896355
PZE-103111574,3_171898096
PZE-103111629,3_171997982
PZE-103111690,3_172050320
PZE-103111716,3_172101082
PZE-103111818,3_172130222
PZE-103111837,3_172132038
PZE-103112034,3_172199779
PZE-103112102,3_172201953
PZE-103112242,3_172335009
PZE-103112343,3_172331999
PZE-103112364,3_172372134
PZE-103112740,3_172477014
PZE-103112780,3_172569888
PZE-103112970,3_172675399
PZE-103112971,3_172675582
PZE-103112978,3_172678316
PZE-103113055,3_172851839
PZE-103113058,3_172852509
PZE-103113087,3_172854544
PZE-103113115,3_172856579
PZE-103113155,3_172907303
PZE-103113284,3_173002258
PZE-103113298,3_173014257
PZE-103113658,3_173373645
PZE-103113816,3_173470129
PZE-103113871,3_173472590
PZE-103114205,3_173570073
PZE-103114346,3_173796843
PZE-103114472,3_174059963
PZE-103114564,3_174341409
PZE-103114614,3_174363100
PZE-103114688,3_174365604
PZE-103114692,3_174365709
PZE-103114700,3_174369876
PZE-103114703,3_174370055
PZE-103114765,3_174536898
PZE-103114788,3_174641666
PZE-103114815,3_174686431
PZE-103114860,3_174764059
PZE-103114880,3_174769975
PZE-103114883,3_174770234
PZE-103114887,3_174774495
PZE-103114958,3_174830764
PZE-103114964,3_174828344
PZE-103115047,3_174824503
PZE-103115104,3_175023306
PZE-103115114,3_175124159
PZE-103115131,3_175100529
PZE-103115171,3_175156688
PZE-103115206,3_175165190
PZE-103115210,3_175165750
PZE-103115233,3_175174122
PZE-103115269,3_175283547
PZE-103115334,3_175352602
PZE-103115444,3_175525941
PZE-103115445,3_175525967
PZE-103115451,3_175526390
PZE-103115472,3_175533249
PZE-103115569,3_175549743
PZE-103115618,3_175554472
PZE-103115629,3_175562116
PZE-103115657,3_175588842
PZE-103115932,3_175698878
PZE-103116056,3_175761982
PZE-103116145,3_175897784
PZE-103116489,3_175965506
PZE-103116584,3_175988805
PZE-103116592,3_175999611
PZE-103116639,3_176039818
PZE-103116753,3_176260144
PZE-103116865,3_176289973
PZE-103116951,3_176302166
PZE-103116979,3_176304069
PZE-103117006,3_176322072
PZE-103117225,3_176355159
PZE-103117361,3_176365692
PZE-103117542,3_176526411
PZE-103117610,3_176562816
PZE-103118006,3_176570244
PZE-103118101,3_176677313
PZE-103118170,3_176784418
PZE-103118301,3_176935360
PZE-103118331,3_177019447
PZE-103118377,3_177124534
PZE-103118380,3_177129166
PZE-103118399,3_177136586
PZE-103118405,3_177143896
PZE-103118406,3_177144063
PZE-103118412,3_177144630
PZE-103118415,3_177147251
PZE-103118417,3_177148954
PZE-103118428,3_177150100
PZE-103118429,3_177150160
PZE-103118475,3_177370055
PZE-103118476,3_177370842
PZE-103118515,3_177443531
PZE-103118562,3_177446587
PZE-103118596,3_177492410
PZE-103118597,3_177492482
PZE-103118627,3_177495313
PZE-103118666,3_177536662
PZE-103118776,3_177726414
PZE-103118833,3_177939070
PZE-103118860,3_177999828
PZE-103118969,3_178006685
PZE-103118980,3_178007531
PZE-103119085,3_178042239
PZE-103119143,3_178048578
PZE-103119151,3_178100582
PZE-103119152,3_178100497
PZE-103119259,3_178061531
PZE-103119273,3_178132662
PZE-103119311,3_178133979
PZE-103119393,3_178152169
PZE-103119407,3_178153402
PZE-103119573,3_178216491
PZE-103119617,3_178268144
PZE-103119655,3_178313564
PZE-103119687,3_178315200
PZE-103119705,3_178310554
PZE-103119721,3_178319066
PZE-103119767,3_178321285
PZE-103119827,3_178326770
PZE-103119878,3_178411734
PZE-103119977,3_178527804
PZE-103119978,3_178527950
PZE-103120023,3_178540374
PZE-103120110,3_178563509
PZE-103120159,3_178572488
PZE-103120264,3_178727391
PZE-103120371,3_178780346
PZE-103120639,3_178991924
PZE-103120678,3_179060649
PZE-103120703,3_179066301
PZE-103120714,3_179073342
PZE-103120732,3_179080187
PZE-103120770,3_179126264
PZE-103120779,3_179126977
PZE-103120792,3_179123627
PZE-103120875,3_179227339
PZE-103120879,3_179226701
PZE-103120924,3_179219534
PZE-103121076,3_179265753
PZE-103121399,3_179414338
PZE-103121594,3_179514796
PZE-103121601,3_179518284
PZE-103121606,3_179523286
PZE-103121610,3_179545341
PZE-103121727,3_179640832
PZE-103121861,3_179735110
PZE-103122471,3_180503928
PZE-103122514,3_180508369
PZE-103122515,3_180508419
PZE-103122604,3_180512297
PZE-103122617,3_180514938
PZE-103122932,3_180668314
PZE-103122953,3_180679608
PZE-103122966,3_180743388
PZE-103123019,3_180747973
PZE-103123072,3_180774488
PZE-103123118,3_180824088
PZE-103123119,3_180824441
PZE-103123158,3_180898814
PZE-103123171,3_180899575
PZE-103123190,3_180908329
PZE-103123284,3_181007160
PZE-103123325,3_181066484
PZE-103123331,3_181066730
PZE-103123525,3_181116731
PZE-103123526,3_181116753
PZE-103123530,3_181117982
PZE-103123538,3_181124427
PZE-103123615,3_181279379
PZE-103123676,3_181447096
PZE-103123698,3_181506402
PZE-103123702,3_181507529
PZE-103123713,3_181509153
PZE-103123746,3_181546764
PZE-103123819,3_181558428
PZE-103123844,3_181557550
PZE-103123847,3_181556618
PZE-103123894,3_181553211
PZE-103123992,3_181615798
PZE-103124125,3_181686269
PZE-103124207,3_181695567
PZE-103124361,3_181751077
PZE-103124398,3_181749536
PZE-103124449,3_181768919
PZE-103124686,3_181906146
PZE-103124738,3_182042490
PZE-103124740,3_182042594
PZE-103124901,3_182060793
PZE-103124964,3_182082245
PZE-103125004,3_182129545
PZE-103125005,3_182129575
PZE-103125006,3_182131567
PZE-103125025,3_182160776
PZE-103125051,3_182279935
PZE-103125052,3_182280095
PZE-103125062,3_182411349
PZE-103125064,3_182411530
PZE-103125068,3_182413316
PZE-103125104,3_182478441
PZE-103125173,3_182482515
PZE-103125175,3_182482674
PZE-103125177,3_182482791
PZE-103125179,3_182482891
PZE-103125275,3_182592936
PZE-103125281,3_182595832
PZE-103125283,3_182596110
PZE-103125297,3_182642737
PZE-103125327,3_182714296
PZE-103125343,3_182749618
PZE-103125352,3_182753622
PZE-103125499,3_183119536
PZE-103125579,3_183134322
PZE-103125630,3_183199994
PZE-103125642,3_183252371
PZE-103125662,3_183256273
PZE-103125672,3_183257042
PZE-103125724,3_183311899
PZE-103125763,3_183320084
PZE-103125767,3_183323668
PZE-103125791,3_183374924
PZE-103125803,3_183378880
PZE-103125818,3_183383900
PZE-103125820,3_183384681
PZE-103125853,3_183441627
PZE-103125892,3_183555110
PZE-103125919,3_183573470
PZE-103125956,3_183576903
PZE-103126019,3_183646238
PZE-103126112,3_183865908
PZE-103126215,3_183882022
PZE-103126281,3_183890124
PZE-103126371,3_184000144
PZE-103126437,3_184058938
PZE-103126743,3_184120546
PZE-103126771,3_184155559
PZE-103126799,3_184157503
PZE-103126852,3_184192207
PZE-103126857,3_184194406
PZE-103127045,3_184239673
PZE-103127059,3_184241602
PZE-103127134,3_184269632
PZE-103127218,3_184280193
PZE-103127310,3_184313738
PZE-103127374,3_184359096
PZE-103127446,3_184366871
PZE-103127539,3_184378782
PZE-103127570,3_184434891
PZE-103127574,3_184435036
PZE-103127639,3_184462271
PZE-103127665,3_184594689
PZE-103128060,3_184816495
PZE-103128261,3_184852313
PZE-103128340,3_184939533
PZE-103128396,3_185032110
PZE-103128435,3_185179961
PZE-103128440,3_185229529
PZE-103128452,3_185235013
PZE-103128464,3_185242791
PZE-103128465,3_185242879
PZE-103128474,3_185246829
PZE-103128476,3_185247391
PZE-103128516,3_185258754
PZE-103128517,3_185258799
PZE-103128518,3_185259069
PZE-103128590,3_185273519
PZE-103128597,3_185273997
PZE-103128661,3_185406563
PZE-103128711,3_185556616
PZE-103128734,3_185685294
PZE-103128818,3_185762894
PZE-103128864,3_185838643
PZE-103129297,3_186205654
PZE-103129303,3_186206047
PZE-103129362,3_186214250
PZE-103129387,3_186214761
PZE-103129425,3_186215613
PZE-103129454,3_186216518
PZE-103129508,3_186228185
PZE-103129514,3_186228383
PZE-103129543,3_186230361
PZE-103129544,3_186232288
PZE-103129557,3_186236205
PZE-103129726,3_186435537
PZE-103130290,3_187011554
PZE-103130760,3_187393345
PZE-103130761,3_187393373
PZE-103130779,3_187395347
PZE-103130832,3_187430601
PZE-103130956,3_187434216
PZE-103130958,3_187434457
PZE-103130978,3_187437395
PZE-103131061,3_187444268
PZE-103131099,3_187451031
PZE-103131138,3_187473338
PZE-103131214,3_187476669
PZE-103131292,3_187535554
PZE-103131420,3_187609661
PZE-103132112,3_188091257
PZE-103132120,3_188234694
PZE-103132150,3_188237045
PZE-103132152,3_188237898
PZE-103132156,3_188244852
PZE-103132216,3_188315047
PZE-103132217,3_188315993
PZE-103132222,3_188317203
PZE-103132233,3_188319958
PZE-103132281,3_188332798
PZE-103132285,3_188333192
PZE-103132492,3_188375413
PZE-103132510,3_188379026
PZE-103132539,3_188454425
PZE-103132593,3_188515130
PZE-103132614,3_188529549
PZE-103132624,3_188530544
PZE-103132640,3_188531496
PZE-103132648,3_188531675
PZE-103132683,3_188538288
PZE-103132722,3_188540035
PZE-103132826,3_188571209
PZE-103132991,3_188669780
PZE-103133167,3_188897243
PZE-103133175,3_188907726
PZE-103133192,3_188923508
PZE-103133216,3_188924793
PZE-103133232,3_188926949
PZE-103133234,3_188927006
PZE-103133286,3_189240313
PZE-103133288,3_189240395
PZE-103133331,3_189346966
PZE-103133568,3_189457886
PZE-103133736,3_189517250
PZE-103133772,3_189536582
PZE-103133859,3_189689623
PZE-103133890,3_189693125
PZE-103134006,3_189779857
PZE-103134038,3_189821404
PZE-103134069,3_189850636
PZE-103134113,3_189857715
PZE-103134189,3_189937319
PZE-103134363,3_190087153
PZE-103134460,3_190062809
PZE-103134582,3_190163833
PZE-103134678,3_190314605
PZE-103134790,3_190321588
PZE-103134876,3_190440656
PZE-103134949,3_190446489
PZE-103135061,3_190457224
PZE-103135110,3_190459637
PZE-103135216,3_190571578
PZE-103135227,3_190588013
PZE-103135379,3_190840564
PZE-103135439,3_190946678
PZE-103135560,3_191057406
PZE-103135771,3_191188148
PZE-103135775,3_191188376
PZE-103135784,3_191191707
PZE-103135808,3_191195919
PZE-103135819,3_191267245
PZE-103135820,3_191267201
PZE-103135849,3_191278511
PZE-103135938,3_191330167
PZE-103136011,3_191374026
PZE-103136022,3_191374841
PZE-103136532,3_191932293
PZE-103136534,3_191932135
PZE-103136557,3_192020008
PZE-103136668,3_192121575
PZE-103136698,3_192232086
PZE-103136749,3_192318356
PZE-103136775,3_192400876
PZE-103136776,3_192400651
PZE-103136798,3_192483582
PZE-103136828,3_192656837
PZE-103136829,3_192672530
PZE-103136855,3_192768643
PZE-103136856,3_192769505
PZE-103136863,3_192775916
PZE-103136866,3_192776189
PZE-103136867,3_192778954
PZE-103136868,3_192779452
PZE-103136870,3_192782567
PZE-103136872,3_192783290
PZE-103136874,3_192784923
PZE-103136896,3_192854382
PZE-103136962,3_193059108
PZE-103136980,3_193084281
PZE-103136991,3_193096267
PZE-103137006,3_193105272
PZE-103137010,3_193114336
PZE-103137014,3_193120113
PZE-103137030,3_193234529
PZE-103137050,3_193260797
PZE-103137091,3_193375422
PZE-103137105,3_193377390
PZE-103137134,3_193414465
PZE-103137139,3_193416946
PZE-103137544,3_194011475
PZE-103137703,3_194053372
PZE-103137715,3_194054052
PZE-103137780,3_194170116
PZE-103137782,3_194170201
PZE-103137804,3_194230243
PZE-103137807,3_194230353
PZE-103137887,3_194331273
PZE-103137893,3_194337706
PZE-103137894,3_194337768
PZE-103137895,3_194338066
PZE-103137930,3_194354432
PZE-103137948,3_194424679
PZE-103138155,3_194466767
PZE-103138177,3_194549096
PZE-103138396,3_194828529
PZE-103138441,3_194820115
PZE-103138454,3_194803727
PZE-103138455,3_194803676
PZE-103138646,3_194927949
PZE-103138896,3_195108816
PZE-103138943,3_195243738
PZE-103138981,3_195262398
PZE-103139006,3_195379824
PZE-103139031,3_195377741
PZE-103139039,3_195318901
PZE-103139040,3_195316041
PZE-103139096,3_195397717
PZE-103139121,3_195399352
PZE-103139145,3_195420648
PZE-103139199,3_195512547
PZE-103139226,3_195607872
PZE-103139252,3_195612086
PZE-103139324,3_195651099
PZE-103139617,3_195750005
PZE-103139734,3_195889109
PZE-103139795,3_195925186
PZE-103139833,3_195927321
PZE-103139885,3_195930814
PZE-103140146,3_196052458
PZE-103140256,3_196066316
PZE-103140267,3_196067809
PZE-103140275,3_196075736
PZE-103140361,3_196091378
PZE-103140475,3_196144550
PZE-103140478,3_196147847
PZE-103140670,3_196154842
PZE-103140726,3_196198683
PZE-103140754,3_196202958
PZE-103140791,3_196207132
PZE-103140932,3_196431146
PZE-103140944,3_196435402
PZE-103140982,3_196445983
PZE-103141032,3_196487151
PZE-103141091,3_196559655
PZE-103141146,3_196563210
PZE-103141268,3_196569483
PZE-103141289,3_196594058
PZE-103141325,3_196687857
PZE-103141353,3_196694991
PZE-103141377,3_196721689
PZE-103141413,3_196872011
PZE-103141524,3_197016004
PZE-103141529,3_197016376
PZE-103141552,3_197018310
PZE-103141567,3_197019720
PZE-103141647,3_197252279
PZE-103141860,3_197328835
PZE-103141876,3_197326655
PZE-103141953,3_197374542
PZE-103142007,3_197382561
PZE-103142046,3_197385300
PZE-103142091,3_197389609
PZE-103142151,3_197407189
PZE-103142246,3_197420417
PZE-103142386,3_197684297
PZE-103142398,3_197715215
PZE-103142436,3_197719259
PZE-103142546,3_198035157
PZE-103142578,3_198037712
PZE-103142596,3_198038661
PZE-103142610,3_198039525
PZE-103142634,3_198041510
PZE-103142654,3_198143764
PZE-103142893,3_198391556
PZE-103142894,3_198391588
PZE-103142899,3_198391807
PZE-103142906,3_198392295
PZE-103142979,3_198520055
PZE-103142982,3_198520739
PZE-103143047,3_198580608
PZE-103143058,3_198588829
PZE-103143078,3_198600428
PZE-103143491,3_199028248
PZE-103143569,3_199231932
PZE-103143575,3_199237227
PZE-103143590,3_199244081
PZE-103143599,3_199244715
PZE-103143600,3_199244757
PZE-103143669,3_199248941
PZE-103143676,3_199250597
PZE-103143680,3_199250779
PZE-103143794,3_199254819
PZE-103144158,3_199484060
PZE-103144159,3_199484261
PZE-103144191,3_199489206
PZE-103144282,3_199556761
PZE-103144468,3_199621919
PZE-103144525,3_199649667
PZE-103144530,3_199649986
PZE-103145047,3_199953486
PZE-103145169,3_200068597
PZE-103145208,3_200135140
PZE-103145210,3_200136100
PZE-103145287,3_200192816
PZE-103145363,3_200311070
PZE-103145413,3_200347310
PZE-103145474,3_200375897
PZE-103145494,3_200382381
PZE-103145499,3_200382891
PZE-103145512,3_200396129
PZE-103145513,3_200396295
PZE-103145531,3_200426061
PZE-103145827,3_200702414
PZE-103146632,3_201249293
PZE-103146876,3_201296095
PZE-103146956,3_201304266
PZE-103147091,3_201327911
PZE-103147120,3_201330798
PZE-103147126,3_201331113
PZE-103147177,3_201463439
PZE-103147207,3_201536245
PZE-103147208,3_201538048
PZE-103147211,3_201538842
PZE-103147212,3_201541112
PZE-103147258,3_201559761
PZE-103147317,3_201603972
PZE-103147456,3_201685610
PZE-103147487,3_201772408
PZE-103147662,3_201932462
PZE-103147765,3_201948567
PZE-103148152,3_202136982
PZE-103148215,3_202183426
PZE-103148259,3_202184613
PZE-103148276,3_202184988
PZE-103148299,3_202224159
PZE-103148342,3_202256156
PZE-103148373,3_202259783
PZE-103148458,3_202381976
PZE-103148461,3_202399572
PZE-103148470,3_202431257
PZE-103148487,3_202436335
PZE-103148564,3_202542357
PZE-103148618,3_202558770
PZE-103148669,3_202716112
PZE-103148706,3_202720231
PZE-103148720,3_202762352
PZE-103148725,3_202763772
PZE-103148727,3_202766729
PZE-103148799,3_202768746
PZE-103148803,3_202768902
PZE-103148809,3_202775894
PZE-103148893,3_202797754
PZE-103148913,3_202830926
PZE-103149035,3_202836654
PZE-103149070,3_202838929
PZE-103149071,3_202838971
PZE-103149074,3_202839313
PZE-103149185,3_202845141
PZE-103149223,3_202928624
PZE-103149233,3_202928946
PZE-103149243,3_202930854
PZE-103149272,3_202950603
PZE-103149440,3_203290535
PZE-103149456,3_203465196
PZE-103149471,3_203432682
PZE-103149504,3_203509046
PZE-103149505,3_203509135
PZE-103149510,3_203519784
PZE-103149512,3_203522244
PZE-103149560,3_203683679
PZE-103149593,3_203751605
PZE-103149597,3_203752317
PZE-103149619,3_203760680
PZE-103149689,3_203895038
PZE-103149797,3_204130292
PZE-103149995,3_204282345
PZE-103150004,3_204283178
PZE-103150034,3_204286171
PZE-103150035,3_204289161
PZE-103150041,3_204289478
PZE-103150048,3_204298086
PZE-103150079,3_204356648
PZE-103150085,3_204359022
PZE-103150095,3_204373355
PZE-103150101,3_204423085
PZE-103150111,3_204433148
PZE-103150142,3_204457796
PZE-103150197,3_204460779
PZE-103150212,3_204461420
PZE-103150218,3_204462195
PZE-103150482,3_204579880
PZE-103151010,3_204994023
PZE-103151042,3_204999277
PZE-103151098,3_205007622
PZE-103151247,3_205146834
PZE-103151398,3_205260852
PZE-103151399,3_205260873
PZE-103151519,3_205347960
PZE-103151594,3_205362826
PZE-103151729,3_205393554
PZE-103151759,3_205395271
PZE-103151783,3_205395828
PZE-103151828,3_205410607
PZE-103151899,3_205540588
PZE-103151951,3_205576316
PZE-103152007,3_205694227
PZE-103152229,3_205818059
PZE-103152337,3_205897844
PZE-103152380,3_205970789
PZE-103152582,3_206198262
PZE-103152583,3_206201434
PZE-103152614,3_206260415
PZE-103152615,3_206261887
PZE-103152619,3_206322132
PZE-103152677,3_206382705
PZE-103152704,3_206417673
PZE-103152788,3_206529989
PZE-103152939,3_206586654
PZE-103153359,3_206617131
PZE-103153521,3_206703091
PZE-103153708,3_206844248
PZE-103153778,3_206856461
PZE-103154125,3_206959062
PZE-103154126,3_206959086
PZE-103154132,3_206962201
PZE-103154161,3_207023276
PZE-103154277,3_207148384
PZE-103154368,3_207218732
PZE-103154386,3_207225795
PZE-103154448,3_207250444
PZE-103154498,3_207301586
PZE-103154516,3_207413237
PZE-103154530,3_207420762
PZE-103154551,3_207485607
PZE-103154556,3_207484122
PZE-103154589,3_207470669
PZE-103154632,3_207545528
PZE-103154634,3_207547720
PZE-103154651,3_207550272
PZE-103154679,3_207552021
PZE-103154686,3_207553836
PZE-103154688,3_207555271
PZE-103154726,3_207592612
PZE-103154736,3_207617808
PZE-103154782,3_207716022
PZE-103154784,3_207716108
