Originalname	Chromosome	B73RefGen_v2position(bp)
PZE-101167756	1	211257338
PZE-101167962	1	211324869
PZE-101168020	1	211331752
PZE-101168054	1	211385089
PZE-101168100	1	211438391
PZE-101168102	1	211438443
PZE-101168156	1	211453560
PZE-101168178	1	211459103
PZE-101168672	1	211625229
PZE-101168736	1	211816632
PZE-101168749	1	211879499
PZE-101168807	1	212059932
PZE-101168809	1	212061219
PZE-101168810	1	212061396
PZE-101168813	1	212065656
PZE-101168819	1	212067092
PZE-101168878	1	212168107
PZE-101168884	1	212180435
PZE-101168898	1	212182669
PZE-101168907	1	212187905
PZE-101168916	1	212192906
PZE-101168965	1	212259423
PZE-101169006	1	212297517
PZE-101169042	1	212354112
PZE-101169057	1	212333098
PZE-101169059	1	212330959
PZE-101169060	1	212330400
PZE-101169068	1	212358543
PZE-101169074	1	212394046
PZE-101169105	1	212485840
PZE-101169118	1	212495267
PZE-101169122	1	212497968
PZE-101169140	1	212502687
PZE-101169204	1	212532252
PZE-101169244	1	212573284
PZE-101169259	1	212579074
PZE-101169317	1	212843481
PZE-101169366	1	212901844
PZE-101169429	1	212951968
PZE-101169494	1	212983116
PZE-101169539	1	213090815
PZE-101169545	1	213093477
PZE-101169548	1	213093696
PZE-101169609	1	213096535
PZE-101169671	1	213153303
PZE-101169699	1	213154724
PZE-101169867	1	213228313
PZE-101169938	1	213260509
PZE-101169962	1	213269897
PZE-101169972	1	213270800
PZE-101170043	1	213350594
PZE-101170066	1	213374772
PZE-101170220	1	213539110
PZE-101170225	1	213573196
PZE-101170232	1	213573839
PZE-101170371	1	213717087
PZE-101170408	1	213896269
PZE-101170476	1	213917676
PZE-101170572	1	214112505
PZE-101170623	1	214154135
PZE-101170679	1	214238200
PZE-101170704	1	214242024
PZE-101170746	1	214244290
PZE-101170828	1	214327123
PZE-101170880	1	214414599
PZE-101170922	1	214533985
PZE-101170923	1	214533918
PZE-101170951	1	214498256
PZE-101170983	1	214597934
PZE-101170992	1	214629479
PZE-101171014	1	214648677
PZE-101171059	1	214677319
PZE-101171102	1	214724663
PZE-101171300	1	214925252
PZE-101171554	1	215060585
PZE-101171655	1	215205303
PZE-101171667	1	215208335
PZE-101171709	1	215329644
PZE-101171800	1	215340599
PZE-101171837	1	215345698
PZE-101171841	1	215348725
PZE-101171852	1	215350255
PZE-101171866	1	215350719
PZE-101171899	1	215444010
PZE-101171915	1	215442456
PZE-101171998	1	215530492
PZE-101172042	1	215607746
PZE-101172085	1	215649972
PZE-101172114	1	215665539
PZE-101172147	1	215706681
PZE-101172150	1	215721684
PZE-101172177	1	215762247
PZE-101172239	1	215842093
PZE-101172340	1	215993900
PZE-101172422	1	216159878
PZE-101172427	1	216161793
PZE-101172434	1	216162575
PZE-101172448	1	216163996
PZE-101172458	1	216164551
PZE-101172463	1	216165193
PZE-101172465	1	216165618
PZE-101172495	1	216300711
PZE-101172498	1	216362544
PZE-101172511	1	216472222
PZE-101172517	1	216473790
PZE-101172583	1	216442515
PZE-101172657	1	216579514
PZE-101172677	1	216580824
PZE-101172710	1	216589170
PZE-101172711	1	216589215
PZE-101172726	1	216640256
PZE-101172733	1	216640679
PZE-101172788	1	216685958
PZE-101172827	1	216691028
PZE-101172846	1	216692421
PZE-101172856	1	216692861
PZE-101172999	1	216765747
PZE-101173025	1	216772398
PZE-101173330	1	217114855
PZE-101173401	1	217181201
PZE-101173484	1	217216914
PZE-101173487	1	217219146
PZE-101173494	1	217252011
PZE-101173563	1	217279588
PZE-101173722	1	217488640
PZE-101173784	1	217450963
PZE-101173803	1	217500213
PZE-101173830	1	217523118
PZE-101173838	1	217524279
PZE-101173926	1	217587745
PZE-101173927	1	217605469
PZE-101173929	1	217617575
PZE-101174037	1	217775345
PZE-101174076	1	217781852
PZE-101174158	1	217875936
PZE-101174163	1	217878023
PZE-101174204	1	217898380
PZE-101174220	1	217936882
PZE-101174287	1	218206617
PZE-101174308	1	218241959
PZE-101174323	1	218284383
PZE-101174424	1	218564593
PZE-101174451	1	218570564
PZE-101174453	1	218571030
PZE-101174535	1	218668743
PZE-101174542	1	218702037
PZE-101174617	1	218801016
PZE-101174664	1	218986896
PZE-101174913	1	219371014
PZE-101174929	1	219373782
PZE-101174930	1	219374104
PZE-101174939	1	219375852
PZE-101174953	1	219377629
PZE-101174972	1	219380782
PZE-101174973	1	219384450
PZE-101174975	1	219384873
PZE-101174976	1	219384944
PZE-101175015	1	219478393
PZE-101175131	1	219575750
PZE-101175171	1	219607654
PZE-101175172	1	219608729
PZE-101175176	1	219611187
PZE-101175219	1	219726203
PZE-101175269	1	219758920
PZE-101175276	1	219770882
PZE-101175277	1	219771054
PZE-101175283	1	219771803
PZE-101175290	1	219791308
PZE-101175306	1	219795110
PZE-101175319	1	219807157
PZE-101175379	1	219900247
PZE-101175438	1	219976155
PZE-101175487	1	220009100
PZE-101175582	1	220059562
PZE-101175642	1	220074362
PZE-101175643	1	220074431
PZE-101175658	1	220090862
PZE-101175704	1	220098709
PZE-101175707	1	220100123
PZE-101175715	1	220116259
PZE-101175818	1	220219800
PZE-101175840	1	220335451
PZE-101175901	1	220365445
PZE-101175924	1	220373274
PZE-101175968	1	220376839
PZE-101175983	1	220520249
PZE-101176010	1	220526419
PZE-101176044	1	220600500
PZE-101176045	1	220600585
PZE-101176147	1	220785740
PZE-101176253	1	220804086
PZE-101176281	1	220823938
PZE-101176290	1	220828000
PZE-101176320	1	220851654
PZE-101176352	1	220894166
PZE-101176414	1	220941618
PZE-101176492	1	221140282
PZE-101176574	1	221193742
PZE-101176580	1	221238842
PZE-101176589	1	221280836
PZE-101176624	1	221369064
PZE-101176627	1	221370027
PZE-101176636	1	221378512
PZE-101176718	1	221444058
PZE-101176725	1	221486177
PZE-101176793	1	221583998
PZE-101176797	1	221584685
PZE-101176800	1	221589777
PZE-101176808	1	221652292
PZE-101176809	1	221652869
PZE-101176812	1	221653186
PZE-101176826	1	221739382
PZE-101176840	1	221741401
PZE-101176885	1	221811192
PZE-101176905	1	221785673
PZE-101177060	1	222131465
PZE-101177112	1	222147146
PZE-101177162	1	222170668
PZE-101177164	1	222171630
PZE-101177188	1	222204708
PZE-101177251	1	222206833
PZE-101177277	1	222297433
PZE-101177419	1	222398611
PZE-101177456	1	222399950
PZE-101177457	1	222399974
PZE-101177465	1	222400356
PZE-101177582	1	222482382
PZE-101177603	1	222533761
PZE-101177728	1	222592017
PZE-101177765	1	222599508
PZE-101177766	1	222602112
PZE-101177767	1	222602140
PZE-101177770	1	222603037
PZE-101177793	1	222700746
PZE-101177794	1	222700793
PZE-101177822	1	222774483
PZE-101177832	1	222763049
PZE-101177833	1	222762124
PZE-101177834	1	222761635
PZE-101177855	1	222794252
PZE-101177876	1	222828906
PZE-101177893	1	222860102
PZE-101177940	1	222953015
PZE-101177975	1	222968065
PZE-101178005	1	222978960
PZE-101178021	1	222979756
PZE-101178153	1	223038188
PZE-101178204	1	223535397
PZE-101178205	1	223535361
PZE-101178225	1	223400905
PZE-101178243	1	223399888
PZE-101178267	1	223286780
PZE-101178330	1	223319103
PZE-101178345	1	223317709
PZE-101178405	1	223312328
PZE-101178411	1	223306532
PZE-101178435	1	223216349
PZE-101178448	1	223215218
PZE-101178451	1	223214190
PZE-101178467	1	223165736
PZE-101178511	1	223163576
PZE-101178540	1	223161749
PZE-101178583	1	223157300
PZE-101178589	1	223155829
PZE-101178598	1	223564117
PZE-101178625	1	223566212
PZE-101178657	1	223626792
PZE-101178662	1	223628094
PZE-101178688	1	223678728
PZE-101178735	1	223760550
PZE-101178802	1	223763059
PZE-101178805	1	223763380
PZE-101178823	1	223765208
PZE-101179560	1	224070120
PZE-101179591	1	224080405
PZE-101179823	1	224257853
PZE-101179918	1	224372583
PZE-101179967	1	224376338
PZE-101179982	1	224376992
PZE-101180001	1	224381102
PZE-101180035	1	224420218
PZE-101180060	1	224448452
PZE-101180164	1	224722952
PZE-101180218	1	224767801
PZE-101180308	1	224783681
PZE-101180313	1	224797467
PZE-101180354	1	224916769
PZE-101180375	1	224917695
PZE-101180507	1	225044054
PZE-101180531	1	225041058
PZE-101180534	1	225040963
PZE-101180631	1	225035063
PZE-101180803	1	225123414
PZE-101180929	1	225138023
PZE-101180953	1	225255407
PZE-101180979	1	225345229
PZE-101181034	1	225495131
PZE-101181049	1	225504214
PZE-101181142	1	225584215
PZE-101181158	1	225589237
PZE-101181160	1	225590339
PZE-101181218	1	225622610
PZE-101181259	1	225626090
PZE-101181293	1	225627863
PZE-101181333	1	225655149
PZE-101181337	1	225656027
PZE-101181342	1	225658757
PZE-101181344	1	225683838
PZE-101181366	1	225714207
PZE-101181384	1	225866807
PZE-101181403	1	225869659
PZE-101181469	1	225878653
PZE-101181505	1	225883687
PZE-101181623	1	226141782
PZE-101181654	1	226174479
PZE-101181658	1	226174870
PZE-101181728	1	226217409
PZE-101181821	1	226236550
PZE-101181822	1	226236587
PZE-101181823	1	226236634
PZE-101181856	1	226257575
PZE-101182082	1	226317135
PZE-101182083	1	226317430
PZE-101182084	1	226317470
PZE-101182086	1	226318987
PZE-101182128	1	226456343
PZE-101182134	1	226457158
PZE-101182161	1	226539364
PZE-101182162	1	226539911
PZE-101182187	1	226563834
PZE-101182198	1	226621008
PZE-101182232	1	226758821
PZE-101182391	1	226926790
PZE-101182536	1	226941654
PZE-101182551	1	226961815
PZE-101182552	1	226962118
PZE-101182557	1	227008640
PZE-101182568	1	227016154
PZE-101182584	1	227119285
PZE-101182606	1	227111558
PZE-101182691	1	227241293
PZE-101182733	1	227367207
PZE-101182760	1	227437319
PZE-101182767	1	227437764
PZE-101182771	1	227438388
PZE-101182888	1	227593314
PZE-101182889	1	227593940
PZE-101182945	1	227737323
PZE-101182955	1	227739101
PZE-101182983	1	227756826
PZE-101183046	1	227834493
PZE-101183049	1	227837519
PZE-101183142	1	228020694
PZE-101183151	1	228022227
PZE-101183173	1	228051317
PZE-101183189	1	228052296
PZE-101183751	1	228397750
PZE-101183768	1	228403859
PZE-101183799	1	228416361
PZE-101183853	1	228561930
PZE-101183861	1	228564111
PZE-101183878	1	228564617
PZE-101183884	1	228565561
PZE-101183894	1	228570684
PZE-101183895	1	228555720
PZE-101183942	1	228644390
PZE-101183943	1	228645606
PZE-101183972	1	228664769
PZE-101184079	1	228748801
PZE-101184087	1	228760399
PZE-101184149	1	229008667
PZE-101184174	1	229001777
PZE-101184208	1	229067257
PZE-101184209	1	229068153
PZE-101184213	1	229073049
PZE-101184352	1	229187847
PZE-101184461	1	229226915
PZE-101184638	1	229484612
PZE-101184647	1	229493827
PZE-101184729	1	229518543
PZE-101184757	1	229541701
PZE-101184844	1	229613209
PZE-101184920	1	229711077
PZE-101184991	1	229759033
PZE-101185029	1	229850714
PZE-101185030	1	229851092
PZE-101185046	1	229859734
PZE-101185109	1	229900443
PZE-101185128	1	229909991
PZE-101185329	1	230183192
PZE-101185524	1	230202213
PZE-101185536	1	230209381
PZE-101185558	1	230211051
PZE-101185681	1	230343160
PZE-101185710	1	230368756
PZE-101185795	1	230536233
PZE-101185802	1	230539647
PZE-101185810	1	230539878
PZE-101185819	1	230545507
PZE-101185917	1	230623186
PZE-101185989	1	230717634
PZE-101185998	1	230718643
PZE-101186005	1	230720425
PZE-101186097	1	230810204
PZE-101186134	1	230833200
PZE-101186140	1	230834164
PZE-101186141	1	230834226
PZE-101186220	1	230881769
PZE-101186293	1	230927124
PZE-101186294	1	230927078
PZE-101186316	1	230921454
PZE-101186536	1	230959029
PZE-101186645	1	231156085
PZE-101186685	1	231181383
PZE-101186718	1	231183143
PZE-101186723	1	231183378
PZE-101186784	1	231274707
PZE-101186810	1	231278489
PZE-101186871	1	231342037
PZE-101186872	1	231343561
PZE-101186898	1	231389809
PZE-101187014	1	231707761
PZE-101187054	1	231797874
PZE-101187190	1	232284525
PZE-101187196	1	232285513
PZE-101187227	1	232310757
PZE-101187245	1	232343377
PZE-101187295	1	232396567
PZE-101187312	1	232401867
PZE-101187374	1	232513284
PZE-101187439	1	232519063
PZE-101187488	1	232527481
PZE-101187496	1	232527769
PZE-101187508	1	232528994
PZE-101187674	1	232651456
PZE-101187678	1	232653431
PZE-101187681	1	232654964
PZE-101187682	1	232655108
PZE-101187743	1	232742916
PZE-101187799	1	232843663
PZE-101187822	1	232920345
PZE-101187823	1	232920569
PZE-101187842	1	232922952
PZE-101187865	1	232953878
PZE-101187870	1	232954528
PZE-101187880	1	232993997
PZE-101187897	1	232994950
PZE-101187908	1	233000449
PZE-101187914	1	233001236
PZE-101187942	1	233126433
PZE-101187948	1	233043303
PZE-101187963	1	233187162
PZE-101187966	1	233187891
PZE-101187969	1	233200295
PZE-101187974	1	233201238
PZE-101187982	1	233228029
PZE-101187983	1	233228051
PZE-101188012	1	233296612
PZE-101188013	1	233296635
PZE-101188021	1	233297155
PZE-101188022	1	233297198
PZE-101188031	1	233298798
PZE-101188042	1	233331174
PZE-101188060	1	233397207
PZE-101188091	1	233417108
PZE-101188128	1	233447168
PZE-101188142	1	233448642
PZE-101188202	1	233455298
PZE-101188203	1	233455319
PZE-101188238	1	233456564
PZE-101188297	1	233460264
PZE-101188364	1	233555877
PZE-101188424	1	233575911
PZE-101188442	1	233579368
PZE-101188454	1	233584720
PZE-101188466	1	233656904
PZE-101188530	1	233826125
PZE-101188578	1	234000144
PZE-101188659	1	234122190
PZE-101188796	1	234255831
PZE-101188800	1	234257728
PZE-101188882	1	234274891
PZE-101188909	1	234309200
PZE-101188910	1	234309268
PZE-101188911	1	234310221
PZE-101188920	1	234311754
PZE-101189028	1	234617190
PZE-101189041	1	234652098
PZE-101189123	1	234771197
PZE-101189215	1	234780892
PZE-101189231	1	234787209
PZE-101189246	1	234900313
PZE-101189310	1	234910278
PZE-101189314	1	234910478
PZE-101189338	1	234941804
PZE-101189410	1	235036593
PZE-101189417	1	235033321
PZE-101189418	1	235033125
PZE-101189421	1	235025606
PZE-101189445	1	235092039
PZE-101189457	1	235136267
PZE-101189489	1	235099748
PZE-101189600	1	235366449
PZE-101189602	1	235366544
PZE-101189670	1	235448908
PZE-101189680	1	235456203
PZE-101189687	1	235487167
PZE-101189713	1	235488582
PZE-101189720	1	235489344
PZE-101189787	1	235579910
PZE-101189791	1	235577350
PZE-101189810	1	235626813
PZE-101189834	1	235647612
PZE-101189838	1	235647714
PZE-101189858	1	235652370
PZE-101189877	1	235667226
PZE-101189878	1	235667248
PZE-101189886	1	235668945
PZE-101189912	1	235709300
PZE-101189931	1	235717835
PZE-101190026	1	235833955
PZE-101190037	1	235864222
PZE-101190070	1	235909625
PZE-101190131	1	235976356
PZE-101190155	1	235980207
PZE-101190255	1	235990766
PZE-101190298	1	236090113
PZE-101190317	1	236147876
PZE-101190440	1	236240020
PZE-101190502	1	236291875
PZE-101190530	1	236387542
PZE-101190568	1	236573731
PZE-101190686	1	236819761
PZE-101190702	1	236864104
PZE-101190703	1	236864236
PZE-101190721	1	236915800
PZE-101190747	1	236903424
PZE-101190796	1	236950184
PZE-101190826	1	236952975
PZE-101190832	1	236953405
PZE-101190874	1	237050851
PZE-101190927	1	237087198
PZE-101190935	1	237087552
PZE-101191080	1	237462210
PZE-101191112	1	237487223
PZE-101191166	1	237533245
PZE-101191256	1	237585674
PZE-101191306	1	237606317
PZE-101191386	1	237608710
PZE-101191468	1	237659085
PZE-101191483	1	237695174
PZE-101191486	1	237695242
PZE-101191494	1	237735668
PZE-101191529	1	237746143
PZE-101191574	1	237851426
PZE-101191596	1	237888723
PZE-101191608	1	237923644
PZE-101191697	1	237958116
PZE-101191736	1	237961933
PZE-101191790	1	237966141
PZE-101191812	1	238019156
PZE-101191970	1	238427397
PZE-101192090	1	238542709
PZE-101192133	1	238604788
PZE-101192138	1	238605148
PZE-101192159	1	238607408
PZE-101192183	1	238624390
PZE-101192195	1	238662122
PZE-101192211	1	238662813
PZE-101192215	1	238672907
PZE-101192259	1	238750301
PZE-101192272	1	238751026
PZE-101192304	1	238752707
PZE-101192357	1	238814219
PZE-101192390	1	238817406
PZE-101192397	1	238817786
PZE-101192449	1	238828011
PZE-101192454	1	238830126
PZE-101192489	1	239104443
PZE-101192491	1	239104782
PZE-101192493	1	239115956
PZE-101192495	1	239116043
PZE-101192526	1	239199758
PZE-101192567	1	239209614
PZE-101192569	1	239209812
PZE-101192570	1	239210687
PZE-101192576	1	239211167
PZE-101192588	1	239296983
PZE-101192589	1	239297375
PZE-101192647	1	239384319
PZE-101192715	1	239440080
PZE-101192735	1	239509568
PZE-101192764	1	239535224
PZE-101192859	1	239616009
PZE-101193013	1	239897744
PZE-101193114	1	239954787
PZE-101193133	1	239998391
PZE-101193274	1	240114415
PZE-101193425	1	240282219
PZE-101193551	1	240383816
PZE-101193629	1	240467225
PZE-101193678	1	240482483
PZE-101193734	1	240487282
PZE-101193795	1	240670778
PZE-101193799	1	240669914
PZE-101193867	1	240756902
PZE-101193884	1	240764729
PZE-101194070	1	240866320
PZE-101194422	1	241298623
PZE-101194483	1	241359048
PZE-101194502	1	241368093
PZE-101194503	1	241368136
PZE-101194505	1	241368843
PZE-101194555	1	241396200
PZE-101194634	1	241472522
PZE-101194677	1	241500372
PZE-101194696	1	241501850
PZE-101194703	1	241502247
PZE-101194713	1	241506636
PZE-101194730	1	241508255
PZE-101194734	1	241508807
PZE-101194751	1	241531717
PZE-101194762	1	241553526
PZE-101194804	1	241609050
PZE-101194826	1	241737226
PZE-101194885	1	241803167
PZE-101194927	1	241912518
PZE-101194985	1	242080955
PZE-101195016	1	242148988
PZE-101195036	1	242141258
PZE-101195059	1	242193121
PZE-101195075	1	242286820
PZE-101195110	1	242357438
PZE-101195132	1	242394767
PZE-101195153	1	242414672
PZE-101195252	1	242502707
PZE-101195302	1	242541772
PZE-101195315	1	242543658
PZE-101195343	1	242580737
PZE-101195355	1	242683374
PZE-101195358	1	242694647
PZE-101195407	1	242719423
PZE-101195479	1	242912705
PZE-101195541	1	242987323
PZE-101195565	1	243021141
PZE-101195574	1	243091087
PZE-101195616	1	243126409
PZE-101195665	1	243196127
PZE-101195694	1	243216654
PZE-101195784	1	243439838
PZE-101195787	1	243440344
PZE-101195800	1	243462783
PZE-101195802	1	243462888
PZE-101195850	1	243485482
PZE-101195877	1	243487036
PZE-101195890	1	243537726
PZE-101195916	1	243591370
PZE-101195926	1	243596608
PZE-101195957	1	243651625
PZE-101195985	1	243655350
PZE-101196012	1	243700263
PZE-101196036	1	243766592
PZE-101196056	1	243779684
PZE-101196084	1	243813136
PZE-101196119	1	243819475
PZE-101196147	1	243987886
PZE-101196159	1	244034865
PZE-101196188	1	244071105
PZE-101196193	1	244072087
PZE-101196211	1	244098679
PZE-101196241	1	244156023
PZE-101196242	1	244157530
PZE-101196289	1	244210033
PZE-101196337	1	244342094
PZE-101196373	1	244406027
PZE-101196421	1	244469276
PZE-101196459	1	244507054
PZE-101196460	1	244509540
PZE-101196461	1	244511509
PZE-101196464	1	244512817
PZE-101196482	1	244515724
PZE-101196483	1	244515759
PZE-101196496	1	244605426
PZE-101196520	1	244595761
PZE-101196552	1	244559983
PZE-101196582	1	244636967
PZE-101196605	1	244740613
PZE-101196701	1	244757558
PZE-101196704	1	244756064
PZE-101196709	1	244826861
PZE-101196778	1	244906397
PZE-101196829	1	245031660
PZE-101196838	1	245035242
PZE-101196856	1	245045530
PZE-101196857	1	245045718
PZE-101196895	1	245164803
PZE-101196917	1	245219404
PZE-101196940	1	245310887
PZE-101197018	1	245276040
PZE-101197050	1	245479447
PZE-101197110	1	245524041
PZE-101197293	1	245696480
PZE-101197298	1	245696328
PZE-101197341	1	245752429
PZE-101197402	1	245790961
PZE-101197472	1	245869612
PZE-101197668	1	245950108
PZE-101197686	1	245955573
PZE-101197691	1	245955800
PZE-101197695	1	245955924
PZE-101197699	1	245956750
PZE-101197856	1	246203927
PZE-101197938	1	246220269
PZE-101197988	1	246354633
PZE-101198001	1	246355359
PZE-101198020	1	246398782
PZE-101198037	1	246407047
PZE-101198038	1	246407120
PZE-101198043	1	246408164
PZE-101198050	1	246408610
PZE-101198224	1	246467917
PZE-101198225	1	246467959
PZE-101198252	1	246472571
PZE-101198269	1	246479417
PZE-101198337	1	246489208
PZE-101198371	1	246540866
PZE-101198387	1	246546732
PZE-101198548	1	246697664
PZE-101198568	1	246710598
PZE-101198605	1	246723389
PZE-101198633	1	246811542
PZE-101198638	1	246815369
PZE-101198659	1	246820584
PZE-101198686	1	246930916
PZE-101198687	1	246930940
PZE-101198702	1	246960110
PZE-101198723	1	247068863
PZE-101198749	1	247173119
PZE-101198751	1	247173318
PZE-101198753	1	247173464
PZE-101198766	1	247248745
PZE-101198768	1	247248905
PZE-101198781	1	247419009
PZE-101198795	1	247449283
PZE-101198815	1	247544543
PZE-101198833	1	247548480
PZE-101198834	1	247549190
PZE-101198839	1	247614969
PZE-101198846	1	247622779
PZE-101198848	1	247623427
PZE-101198850	1	247624116
PZE-101198853	1	247624519
PZE-101198854	1	247624941
PZE-101198866	1	247627764
PZE-101198867	1	247628378
PZE-101198868	1	247628846
PZE-101198905	1	247813395
PZE-101198911	1	247866233
PZE-101198948	1	247943695
PZE-101199017	1	248122492
PZE-101199033	1	248124232
PZE-101199192	1	248321866
PZE-101199324	1	248512318
PZE-101199331	1	248518007
PZE-101199424	1	248675469
PZE-101199507	1	248752226
PZE-101199598	1	248737375
PZE-101199628	1	248736328
PZE-101199718	1	248847493
PZE-101199742	1	248854002
PZE-101199750	1	248863786
PZE-101199832	1	249067639
PZE-101199853	1	249086873
PZE-101199858	1	249091250
PZE-101199859	1	249091722
PZE-101200126	1	249314415
PZE-101200147	1	249319677
PZE-101200159	1	249326407
PZE-101200168	1	249329564
PZE-101200220	1	249417407
PZE-101200304	1	249424327
PZE-101200311	1	249428926
PZE-101200344	1	249454889
PZE-101200358	1	249497247
PZE-101200480	1	249531449
PZE-101200586	1	249674221
PZE-101200614	1	249700075
PZE-101200670	1	249899595
PZE-101201013	1	253109684
PZE-101201096	1	253010925
PZE-101201123	1	253017591
PZE-101201196	1	252816744
PZE-101201202	1	252815586
PZE-101201205	1	252814814
PZE-101201218	1	252805102
PZE-101201219	1	252800283
PZE-101201243	1	252790397
PZE-101201244	1	252790250
PZE-101201288	1	252736144
PZE-101201482	1	252359061
PZE-101201492	1	252339077
PZE-101201504	1	252322358
PZE-101201511	1	252322101
PZE-101201597	1	252258684
PZE-101201646	1	252139925
PZE-101201666	1	251995695
PZE-101201705	1	251992996
PZE-101201710	1	251992824
PZE-101201711	1	251992439
PZE-101201729	1	251991958
PZE-101201755	1	251987487
PZE-101201778	1	251986395
PZE-101201781	1	251985130
PZE-101201817	1	251826499
PZE-101201822	1	251818087
PZE-101201940	1	251713072
PZE-101201941	1	251712910
PZE-101201972	1	251711469
PZE-101202176	1	251387901
PZE-101202281	1	251443844
PZE-101202565	1	251158821
PZE-101202660	1	251146325
PZE-101202934	1	251102538
PZE-101202983	1	251091237
PZE-101203014	1	251079254
PZE-101203021	1	251041963
PZE-101203040	1	251041358
PZE-101203095	1	250871015
PZE-101203104	1	250888099
PZE-101203123	1	250891161
PZE-101203166	1	250893932
PZE-101203291	1	250911095
PZE-101203438	1	250867814
PZE-101203501	1	250558324
PZE-101203502	1	250556504
PZE-101203624	1	250319139
PZE-101203711	1	250297120
PZE-101203718	1	250296575
PZE-101203725	1	250295440
PZE-101203731	1	250294581
PZE-101203754	1	250199992
PZE-101203853	1	250091815
PZE-101203885	1	250090678
PZE-101203914	1	250077430
PZE-101203924	1	250073432
PZE-101203936	1	250071128
PZE-101203949	1	250068693
PZE-101204487	1	253393224
PZE-101204621	1	253375312
PZE-101204633	1	253493820
PZE-101204689	1	253503104
PZE-101204728	1	253505855
PZE-101204975	1	253715394
PZE-101204999	1	253716559
PZE-101205014	1	253717214
PZE-101205031	1	253719662
PZE-101205141	1	253793852
PZE-101205143	1	253793941
PZE-101205159	1	253798392
PZE-101205235	1	253901998
PZE-101205244	1	253905694
PZE-101205261	1	253907991
PZE-101205270	1	253908175
PZE-101205273	1	253908305
PZE-101205400	1	253950055
PZE-101205432	1	253960710
PZE-101205503	1	254171691
PZE-101205523	1	254244186
PZE-101205573	1	254251387
PZE-101205591	1	254256049
PZE-101205609	1	254263888
PZE-101205664	1	254429578
PZE-101205714	1	254467982
PZE-101205734	1	254464025
PZE-101205743	1	254534247
PZE-101205904	1	254749366
PZE-101205957	1	254799808
PZE-101205958	1	254800034
PZE-101205963	1	254800714
PZE-101205964	1	254802945
PZE-101205965	1	254806438
PZE-101206027	1	254890863
PZE-101206078	1	254981949
PZE-101206210	1	255151301
PZE-101206240	1	255253531
PZE-101206241	1	255253601
PZE-101206252	1	255255324
PZE-101206262	1	255261827
PZE-101206287	1	255317007
PZE-101206289	1	255317651
PZE-101206290	1	255317783
PZE-101206418	1	255448068
PZE-101206438	1	255534122
PZE-101206442	1	255633044
PZE-101206520	1	255546208
PZE-101206527	1	255576116
PZE-101206563	1	255698859
PZE-101206569	1	255703366
PZE-101206599	1	255738378
PZE-101206617	1	255741537
PZE-101206740	1	255834051
PZE-101206816	1	255996403
PZE-101206881	1	256085356
PZE-101206908	1	256087209
PZE-101206918	1	256105701
PZE-101206937	1	256239103
PZE-101206972	1	256292795
PZE-101206982	1	256295120
PZE-101207014	1	256369470
PZE-101207017	1	256369775
PZE-101207021	1	256369954
PZE-101207035	1	256434611
PZE-101207039	1	256451177
PZE-101207044	1	256466361
PZE-101207067	1	256469982
PZE-101207087	1	256480990
PZE-101207166	1	256489660
PZE-101207253	1	256568150
PZE-101207480	1	256797371
PZE-101207892	1	257206089
PZE-101207960	1	257324697
PZE-101208074	1	257413278
PZE-101208112	1	257458841
PZE-101208126	1	257487274
PZE-101208130	1	257489143
PZE-101208132	1	257489467
PZE-101208157	1	257577185
PZE-101208190	1	257674116
PZE-101208211	1	257736565
PZE-101208297	1	257799310
PZE-101208320	1	257811924
PZE-101208396	1	257975340
PZE-101208406	1	257974957
PZE-101208550	1	257995730
PZE-101208579	1	258045934
PZE-101208698	1	258353561
PZE-101208709	1	258350952
PZE-101208762	1	258369789
PZE-101208775	1	258381198
PZE-101208885	1	258397939
PZE-101208921	1	258435407
PZE-101209039	1	258448583
PZE-101209157	1	258553081
PZE-101209179	1	258602379
PZE-101209279	1	258654877
PZE-101209391	1	258667133
PZE-101209438	1	258690094
PZE-101209497	1	258796503
PZE-101209585	1	258807140
PZE-101209620	1	258808074
PZE-101209792	1	258922040
PZE-101209844	1	258955613
PZE-101209857	1	258959268
PZE-101209908	1	259022340
PZE-101209949	1	259025467
PZE-101209983	1	259272600
PZE-101210110	1	259380679
PZE-101210111	1	259380701
PZE-101210112	1	259380735
PZE-101210179	1	259408630
PZE-101210226	1	259523885
PZE-101210255	1	259687859
PZE-101210262	1	259703988
PZE-101210296	1	259772624
PZE-101210301	1	259776786
PZE-101210511	1	259948236
PZE-101210563	1	260134702
PZE-101210571	1	260137931
PZE-101210621	1	260144721
PZE-101210657	1	260160930
PZE-101210733	1	260338525
PZE-101210734	1	260338377
PZE-101210761	1	260449018
PZE-101210780	1	260404680
PZE-101210927	1	260656258
PZE-101211038	1	260744482
PZE-101211209	1	260941840
PZE-101211251	1	260959318
PZE-101211293	1	261133355
PZE-101211330	1	261218521
PZE-101211331	1	261218922
PZE-101211336	1	261223485
PZE-101211337	1	261224131
PZE-101211427	1	261408585
PZE-101211440	1	261411498
PZE-101211668	1	261624520
PZE-101211692	1	261662639
PZE-101211812	1	262167677
PZE-101211929	1	262209464
PZE-101212020	1	262322158
PZE-101212055	1	262308781
PZE-101212116	1	262459657
PZE-101212333	1	262511661
PZE-101212365	1	262513164
PZE-101212437	1	262543189
PZE-101212714	1	262805864
PZE-101212781	1	262890038
PZE-101212894	1	262999302
